order_item_id,order_id,item_name,quantity,price
261,135,Idli Sambar,2,99
262,135,Filter Coffee,1,49
263,136,Paneer Tikka,1,199
264,137,Veg Burger,1,99
265,137,French Fries,2,89
266,138,Garlic Bread,2,99
267,138,Pasta Alfredo,1,229
268,138,Margherita Pizza,1,249
269,139,Pasta Alfredo,1,229
270,140,Hakka Noodles,1,159
271,141,French Fries,2,89
272,141,Chicken Burger,1,149
273,141,Veg Burger,2,99
274,142,French Fries,2,89
275,142,Veg Burger,2,99
276,142,Chicken Burger,1,149
277,143,Pasta Alfredo,1,229
278,144,Pasta Alfredo,2,229
279,144,Margherita Pizza,2,249
280,144,Garlic Bread,2,99
281,145,Hakka Noodles,2,159
282,146,French Fries,2,89
283,147,French Fries,2,89
284,147,Chicken Burger,1,149
285,148,Chicken Burger,1,149
286,148,Veg Burger,1,99
287,148,French Fries,1,89
288,149,Uttapam,1,139
289,150,Garlic Bread,1,99
290,150,Margherita Pizza,1,249
291,150,Pasta Alfredo,2,229
